26.85,94.2
27.1,94.2
27.35,94.2
27.6,94.5
27.85,94.7
28.1,95.0
28.35,95.2
28.6,95.7
28.85,96.2
29.1,96.8
29.35,97.2
29.6,98.1
29.85,99.3
30.1,100.1
30.35,101.2
30.6,102.1
30.85,103.3
31.1,104.1
31.35,105.1
31.6,106.7
31.85,107.9
32.1,108.8
32.35,109.8
32.6,110.7
32.85,111.3
33.1,112.0
33.35,112.6
33.6,113.0
33.85,113.5
34.1,113.8
34.35,114.0
34.6,114.1
34.85,114.1
35.1,114.2
35.35,114.2
35.6,114.3
35.85,114.5
36.1,114.6
36.35,114.7
36.6,114.8
36.85,115.0
37.1,115.3
37.35,115.7
37.6,116.0
37.85,116.1
38.1,117.0
38.35,117.7
38.6,118.5
38.85,119.5
39.1,120.4
39.35,121.2
39.6,122.1
39.85,123.0
40.1,124.0
40.35,125.2
40.6,126.1
40.85,127.1
41.1,128.0
41.35,129.0
41.6,129.9
41.85,130.7
42.1,131.4
42.35,132.0
42.6,132.3
42.85,133.0
43.1,133.1
43.35,133.8
43.6,134.0
43.85,134.2
44.1,134.2
44.35,134.5
44.6,134.6
44.85,134.9
45.1,135.0
45.35,135.1
45.6,135.1
45.85,135.8
46.1,136.5
46.35,137.0
46.6,137.6
46.85,138.1
47.1,138.9
47.35,139.8
47.6,140.6
47.85,141.7
48.1,142.7
48.35,143.4
48.6,144.3
48.85,145.3
49.1,146.3
49.35,147.2
49.6,148.2
49.85,149.2
50.1,150.1
